symbol,sector,LTP,fut_net(w1),call_net(wtd),put_net(wtd),NEW_NET,NEW_NET_prev,DIFF,fut_d,callW_d,putW_d,pos_col15,reconcile(NEW-col15),net_side,ban,fut_eligible,opt_veto,opt_reducing,in_book,book_lots,fut_score,opt_score,conviction,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
360ONE,Financials,1131.5,4.0,0.38,1.88,6.26,7.5,-1.24,-1.0,-0.34,0.1,11.0,-4.74,LONG,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,
ABB,E&C,7421.5,21.0,-3.53,4.88,22.35,22.35,0.0,0.0,0.0,0.0,23.0,-0.65,LONG,,,,N,,,0.2105,-0.108,0.0702,22.35,,,,,,,,,,,,,,,,,,
ABCAPITAL,Financials,405.4,9.0,1.58,2.22,12.8,12.63,0.17,0.0,0.17,0.0,13.0,-0.2,LONG,,Y,Y,N,,,-0.35,-0.755,0.1167,12.63,,,,,,,,,,,,,,,,,,
ADANIENSOL,E&C,1403.4,44.0,11.47,-0.29,55.18,59.18,-4.0,-2.0,-1.9,-0.1,69.0,-13.82,LONG,,,,Y,,,1.5556,-0.898,0.3333,59.18,,,,,,,,,,,,,,,,,,
ADANIENT,Misc.,2950.5,42.0,16.02,-2.08,55.94,58.44,-2.5,-1.0,-2.79,1.29,60.0,-4.06,LONG,,,,Y,,,0.2766,-0.73,0.0922,58.44,,,,,,,,,,,,,,,,,,
ADANIGREEN,Power,1298.8,41.0,-0.63,3.0,43.37,42.62,0.75,0.0,0.63,0.12,45.0,-1.63,LONG,,Y,,N,,,-0.1667,-0.167,0.0556,42.62,,,,,,,,,,,,,,,,,,
ADANIPORTS,Misc.,1709.4,31.0,-6.01,4.56,29.55,27.58,1.97,1.0,-0.05,1.03,28.0,1.55,LONG,,Y,,N,,,-0.2821,-0.045,0.094,27.58,,,,,,,,,,,,,,,,,,
ADANIPOWER,,206.5,60.0,9.96,5.68,75.64,73.4,2.24,0.0,0.64,1.6,82.0,-6.36,LONG,,,Y,N,,,0.2059,-0.931,0.0686,73.4,,,,,,,,,,,,,,,,,,
ALKEM,Pharma,5140.0,4.0,0.8,0.0,4.8,3.86,0.94,1.0,-0.06,0.0,6.0,-1.2,LONG,,,,N,,,0.5,-0.347,0.1667,3.86,,,,,,,,,,,,,,,,,,
AMBER,Mfg. CD,7437.5,13.0,7.52,0.11,20.63,20.6,0.03,0.0,0.03,0.0,24.0,-3.37,LONG,,,Y,N,,,0.2,-0.853,0.0667,20.6,,,,,,,,,,,,,,,,,,
AMBUJACEM,CEMENT,402.35,72.0,14.9,11.23,98.12,99.27,-1.15,-1.0,-0.18,0.04,102.0,-3.88,LONG,,,Y,N,,,0.02,-0.961,0.0067,99.27,,,,,,,,,,,,,,,,,,
ANGELONE,Financials,305.4,10.0,4.62,-0.48,14.13,16.82,-2.69,-2.0,-0.63,-0.05,18.0,-3.87,LONG,,,,Y,,,-0.1429,-0.793,0.0476,16.82,,,,,,,,,,,,,,,,,,
APLAPOLLO,Metals,2216.3,3.0,-2.5,0.69,1.19,1.19,0.0,1.0,-1.04,0.04,2.0,-0.81,LONG,,,,Y,,,-0.5,0.599,0.3663,1.19,,,,,,,,,,,,,,,,,,
APOLLOHOSP,Healthcare,8812.0,2.0,-4.53,1.92,-0.61,2.4,-3.01,-1.0,-1.24,-0.77,2.0,-2.61,SHORT,,Y,,Y,Y,20,-0.8824,0.397,0.4264,2.4,,,,,,,,,,,,,,,,,,
ASHOKLEY,Auto,169.86,28.0,4.67,10.74,43.42,43.55,-0.13,0.0,-0.19,0.05,47.0,-3.58,LONG,,,,Y,,,0.5667,-0.934,0.1889,43.55,,,,,,,,,,,,,,,,,,
ASIANPAINT,Chemical,2506.7,19.0,5.79,1.61,26.4,24.18,2.22,1.0,1.34,-0.12,28.0,-1.6,LONG,,,Y,N,,,0.0,-0.882,0.0,24.18,,,,,,,,,,,,,,,,,,
ASTRAL,E&C,1498.5,11.0,-1.28,3.85,13.56,13.62,-0.06,0.0,-0.1,0.05,15.0,-1.44,LONG,,,Y,N,,,-0.0625,-0.363,0.0208,13.62,,,,,,,,,,,,,,,,,,
ATHERENERG,,1600.0,4.0,4.5,1.0,9.5,10.15,-0.65,1.0,-1.65,0.0,14.0,-4.5,LONG,,,,Y,,,0.0,-0.803,0.0,10.15,,,,,,,,,,,,,,,,,,
AUBANK,Pvt Bank,1063.2,2.0,4.55,1.87,8.42,7.65,0.77,-1.0,1.78,-0.01,10.0,-1.58,LONG,,,Y,N,,,0.0,-0.822,0.0,7.65,,,,,,,,,,,,,,,,,,
AUROPHARMA,Pharma,1659.1,4.0,0.83,0.71,5.55,6.07,-0.52,0.0,-0.53,0.0,7.0,-1.45,LONG,,Y,,Y,Y,20,-0.75,-0.178,0.25,6.07,,,,,,,,,,,,,,,,,,
AXISBANK,Pvt Bank,1270.7,32.0,-6.64,23.4,48.76,47.48,1.28,2.0,0.88,-1.6,48.0,0.76,LONG,,Y,,Y,,,-0.3766,-0.828,0.1255,47.48,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,Auto,11886.0,5.0,4.0,1.19,10.19,8.75,1.44,0.0,0.56,0.88,9.0,1.19,LONG,,,Y,N,,,0.125,-0.859,0.0417,8.75,,,,,,,,,,,,,,,,,,
BAJAJFINSV,Financials,1961.2,1.0,5.28,0.37,6.65,7.0,-0.35,0.0,-0.28,-0.06,9.0,-2.35,LONG,,Y,Y,N,,,-0.4375,-0.811,0.1458,7.0,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,0.0,11120.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LONG,,,,N,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
BAJFINANCE,Financials,1064.2,16.0,8.31,0.32,24.62,26.43,-1.81,-1.0,0.06,-0.86,25.0,-0.38,LONG,,,Y,N,,,0.0417,-0.886,0.0139,26.43,,,,,,,,,,,,,,,,,,
BANDHANBNK,Pvt Bank,163.4,34.0,-0.27,46.07,79.8,81.53,-1.73,0.0,-1.76,0.04,78.0,1.8,LONG,,,,Y,,,0.0,-0.963,0.0,81.53,,,,,,,,,,,,,,,,,,
