symbol,sector,LTP,fut_net(w1),call_net(wtd),put_net(wtd),NEW_NET,NEW_NET_prev,DIFF,fut_d,callW_d,putW_d,pos_col15,reconcile(NEW-col15),net_side,ban,fut_eligible,opt_veto,opt_reducing,in_book,book_lots,fut_score,opt_score,conviction,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
BANKBARODA,PSU BANK,237.71,59.0,-1.87,23.94,81.08,75.21,5.87,2.0,3.87,-0.01,78.0,3.08,LONG,,Y,Y,N,,,-0.1875,-0.952,0.0625,75.21,,,,,,,,,,,,,,,,,,
BANKINDIA,PSU BANK,142.57,15.0,-1.75,5.31,18.56,17.58,0.98,1.0,-0.02,-0.01,15.0,3.56,LONG,,Y,Y,N,,,-0.25,-0.642,0.0833,17.58,,,,,,,,,,,,,,,,,,
BANKNIFTY,INDEX,57445.0,93.0,63.76,28.27,185.03,153.26,31.77,2.0,24.76,5.0,181.0,4.03,LONG,,,,,,,,,,153.26,,,,,,,,,,,,,,,,,,
BDL,Defence,1240.6,32.0,5.58,2.39,39.97,40.49,-0.52,0.0,-0.53,0.01,45.0,-5.03,LONG,,,Y,N,,,1.25,-0.864,0.3333,40.49,,,,,,,,,,,,,,,,,,
BEL,Defence,407.0,88.0,1.27,18.54,107.81,109.07,-1.26,1.0,-2.56,0.3,102.0,5.81,LONG,,,,Y,,,-0.0727,-0.957,0.0242,109.07,,,,,,,,,,,,,,,,,,
BHARATFORG,Defence,1954.7,12.0,6.03,11.0,29.03,29.25,-0.22,0.0,-0.22,0.0,33.0,-3.97,LONG,,,Y,N,,,-0.0833,-0.944,0.0278,29.25,,,,,,,,,,,,,,,,,,
BHARTIARTL,Telecom,1852.6,31.0,10.98,9.43,51.41,51.42,-0.01,0.0,-0.01,0.0,51.0,0.41,LONG,,,Y,N,,,0.275,-0.952,0.0917,51.42,,,,,,,,,,,,,,,,,,
BHEL,E&C,425.85,16.0,12.2,3.56,31.76,28.49,3.27,4.0,-0.86,0.12,36.0,-4.24,LONG,,,Y,N,,,-0.122,-0.929,0.0407,28.49,,,,,,,,,,,,,,,,,,
BIOCON,Pharma,392.7,38.0,-0.13,5.73,43.6,44.04,-0.44,-1.0,-0.2,0.77,46.0,-2.4,LONG,,,Y,N,,,-0.0612,-0.759,0.0204,44.04,,,,,,,,,,,,,,,,,,
BLUESTARCO,CD/FMCG,1480.0,13.0,-2.11,2.35,13.24,13.68,-0.44,0.0,-0.43,0.0,13.0,0.24,LONG,,Y,,N,,,-0.2778,-0.227,0.0926,13.68,,,,,,,,,,,,,,,,,,
BOSCHLTD,Auto Anc.,48345.0,-5.0,1.69,-1.02,-4.33,-5.56,1.23,-1.0,1.74,0.49,-4.0,-0.33,SHORT,,,,N,,,-0.3333,0.227,0.1111,-5.56,,,,,,,,,,,,,,,,,,
BPCL,Oil&Gas,313.3,15.0,-0.24,0.28,15.03,16.04,-1.01,0.0,0.04,-1.04,12.0,3.03,LONG,,Y,,Y,,,-0.3333,-0.571,0.1111,16.04,,,,,,,,,,,,,,,,,,
BRITANNIA,CD/FMCG,5066.5,8.0,3.97,1.08,13.05,13.14,-0.09,0.0,-0.08,-0.01,14.0,-0.95,LONG,,,Y,N,,,0.1667,-0.825,0.0556,13.14,,,,,,,,,,,,,,,,,,
BSE,Financials,3467.9,62.0,18.01,4.7,84.71,79.64,5.07,-2.0,4.79,2.28,111.0,-26.29,LONG,,Y,Y,N,,,-0.4,-0.951,0.1333,79.64,,,,,,,,,,,,,,,,,,
CAMS,Financials,744.6,24.0,-1.91,2.88,24.97,25.62,-0.65,0.0,-0.61,-0.04,24.0,0.97,LONG,,,,Y,,,-0.3846,-0.4,0.1282,25.62,,,,,,,,,,,,,,,,,,
CANBK,PSU BANK,124.94,44.0,6.27,14.19,64.46,64.5,-0.04,1.0,-1.03,-0.01,63.0,1.46,LONG,,,,Y,,,-0.1,-0.953,0.0333,64.5,,,,,,,,,,,,,,,,,,
CDSL,Financials,1426.2,38.0,2.09,5.07,45.17,50.69,-5.52,-1.0,-3.17,-1.35,43.0,2.17,LONG,,Y,,Y,,,-0.2321,-0.868,0.0774,50.69,,,,,,,,,,,,,,,,,,
CGPOWER,E&C,905.0,8.0,5.44,1.35,14.79,10.98,3.81,1.0,1.8,1.01,13.0,1.79,LONG,,Y,Y,N,,,-0.5938,-0.874,0.1979,10.98,,,,,,,,,,,,,,,,,,
CHOLAFIN,Financials,1844.2,0.0,-4.83,2.78,-2.05,-0.65,-1.4,0.0,-0.28,-1.12,-2.0,-0.05,SHORT,,,,Y,,,0.7143,0.26,0.3249,-0.65,,,,,,,,,,,,,,,,,,
CIPLA,Pharma,1387.4,9.0,5.97,1.35,16.32,15.42,0.9,1.0,-0.11,0.0,17.0,-0.68,LONG,,,Y,N,,,0.0625,-0.868,0.0208,15.42,,,,,,,,,,,,,,,,,,
COALINDIA,Power,420.85,28.0,3.22,-0.75,30.47,36.0,-5.53,0.0,-1.82,-3.71,31.0,-0.53,LONG,,Y,,Y,Y,10,-0.5753,-0.657,0.1918,36.0,,,,,,,,,,,,,,,,,,
COCHINSHIP,,1515.0,4.0,7.09,2.0,13.09,14.35,-1.26,0.0,-1.26,0.0,18.0,-4.91,LONG,,,,Y,,,1.25,-0.866,0.3333,14.35,,,,,,,,,,,,,,,,,,
COFORGE,IT,1935.0,21.0,-6.7,2.99,17.29,17.24,0.05,0.0,-0.96,1.02,19.0,-1.71,LONG,,,,Y,,,0.9,0.472,0.4574,17.24,,,,,,,,,,,,,,,,,,
COLPAL,CD/FMCG,1818.5,43.0,0.34,1.06,44.4,43.42,0.98,1.0,0.0,-0.02,45.0,-0.6,LONG,,Y,,N,,,-0.2373,-0.738,0.0791,43.42,,,,,,,,,,,,,,,,,,
CONCOR,Logistics,505.95,48.0,6.68,4.17,58.85,58.3,0.55,0.0,0.5,0.05,61.0,-2.15,LONG,,,Y,N,,,0.0893,-0.905,0.0298,58.3,,,,,,,,,,,,,,,,,,
CROMPTON,CD/FMCG,231.49,30.0,1.2,10.44,41.65,41.7,-0.05,0.0,-0.09,0.03,46.0,-4.35,LONG,,,Y,N,,,0.122,-0.8,0.0407,41.7,,,,,,,,,,,,,,,,,,
CUMMINSIND,E&C,5069.0,11.0,-3.79,4.0,11.21,11.01,0.2,1.0,-0.8,0.0,10.0,1.21,LONG,,,Y,N,,,0.1111,-0.252,0.037,11.01,,,,,,,,,,,,,,,,,,
DABUR,CD/FMCG,377.3,45.0,4.64,8.85,58.48,60.02,-1.54,0.0,-1.61,0.08,62.0,-3.52,LONG,,,,Y,,,0.1481,-0.935,0.0494,60.02,,,,,,,,,,,,,,,,,,
DELHIVERY,Logistics,453.3,16.0,7.19,0.96,24.14,22.98,1.16,1.0,0.09,0.08,29.0,-4.86,LONG,,,Y,N,,,-0.5085,-0.852,0.1695,22.98,,,,,,,,,,,,,,,,,,
DIVISLAB,Pharma,9259.5,-6.0,3.14,-5.32,-8.18,-8.1,-0.08,0.0,-0.02,-0.06,-11.0,2.82,SHORT,,,,N,,,-6.5,0.137,0.3789,-8.1,,,,,,,,,,,,,,,,,,
DIXON,Mfg. CD,13937.0,30.0,11.58,14.2,55.78,56.1,-0.32,1.0,-3.24,1.92,72.0,-16.22,LONG,,,,Y,,,-0.0526,-0.937,0.0175,56.1,,,,,,,,,,,,,,,,,,
DLF,Real Estate,679.25,38.0,-0.25,0.92,38.67,40.24,-1.57,-1.0,0.0,-0.57,32.0,6.67,LONG,,Y,,Y,,,-0.3191,-0.59,0.1064,40.24,,,,,,,,,,,,,,,,,,
DMART,CD/FMCG,3721.4,19.0,6.22,9.07,34.29,34.45,-0.16,0.0,-0.32,0.16,40.0,-5.71,LONG,,,Y,N,,,0.4815,-0.924,0.1605,34.45,,,,,,,,,,,,,,,,,,
DRREDDY,Pharma,1152.0,23.0,6.28,1.79,31.07,30.53,0.54,-1.0,2.11,-0.57,33.0,-1.93,LONG,,,Y,N,,,0.0312,-0.881,0.0104,30.53,,,,,,,,,,,,,,,,,,
EICHERMOT,Auto,7748.0,8.0,-1.13,7.96,14.83,17.07,-2.24,0.0,-2.09,-0.15,17.0,-2.17,LONG,,,,Y,,,5.25,-0.347,0.3333,17.07,,,,,,,,,,,,,,,,,,
ETERNAL,CD/FMCG,323.25,16.0,2.63,5.63,24.26,17.88,6.38,3.0,4.27,-0.9,26.0,-1.74,LONG,,,Y,N,,,0.8571,-0.886,0.2857,17.88,,,,,,,,,,,,,,,,,,
FEDERALBNK,PSU BANK,343.35,10.0,-1.21,12.57,21.36,19.92,1.44,0.0,0.41,1.03,22.0,-0.64,LONG,,,Y,N,,,0.6923,-0.679,0.2308,19.92,,,,,,,,,,,,,,,,,,
FINNIFTY,INDEX,26102.0,-1.0,-0.39,0.98,-0.41,-0.41,0.0,0.0,0.0,0.0,0.0,-0.41,FLAT,,,,,,,,,,-0.41,,,,,,,,,,,,,,,,,,
FOCIT,,,0.0,1.0,0.0,1.0,,,,,,1.0,0.0,LONG,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
FORCEMOT,,17835.0,14.0,-2.26,1.0,12.74,14.08,-1.34,-1.0,-0.34,0.0,11.0,1.74,LONG,,Y,,Y,,,-0.1538,0.051,0.0513,14.08,,,,,,,,,,,,,,,,,,
FORTIS,INDEX,904.0,11.0,-0.43,0.0,10.57,9.55,1.02,1.0,0.02,0.0,12.0,-1.43,LONG,,,,N,,,0.0909,0.393,0.0303,9.55,,,,,,,,,,,,,,,,,,
GAIL,Oil&Gas,177.15,25.0,10.13,1.68,36.81,36.12,0.69,-2.0,2.52,0.17,37.0,-0.19,LONG,,Y,Y,N,,,-0.1591,-0.913,0.053,36.12,,,,,,,,,,,,,,,,,,
GLENMARK,Pharma,2466.5,23.0,1.12,0.16,24.28,23.27,1.01,2.0,-0.98,0.0,26.0,-1.72,LONG,,,,Y,,,-0.2571,-0.003,0.0857,23.27,,,,,,,,,,,,,,,,,,
GMRAIRPORT,Logistics,97.06,20.0,11.1,3.49,34.6,32.45,2.15,1.0,1.14,0.01,41.0,-6.4,LONG,,,Y,N,,,0.1389,-0.921,0.0463,32.45,,,,,,,,,,,,,,,,,,
GODFRYPHLP,,2033.3,6.0,-1.02,0.0,4.98,4.96,0.02,0.0,0.02,0.0,4.0,0.98,LONG,,,,N,,,-0.5,0.409,0.1667,4.96,,,,,,,,,,,,,,,,,,
GODREJCP,CD/FMCG,865.45,19.0,2.83,1.77,23.6,20.51,3.09,0.0,1.17,1.92,25.0,-1.4,LONG,,,Y,N,,,0.3158,-0.823,0.1053,20.51,,,,,,,,,,,,,,,,,,
GODREJPROP,Real Estate,1934.7,26.0,0.42,4.78,31.21,28.54,2.67,0.0,2.55,0.11,32.0,-0.79,LONG,,,Y,N,,,0.0,-0.651,0.0,28.54,,,,,,,,,,,,,,,,,,
GRASIM,CD/FMCG,3309.7,9.0,1.22,0.18,10.4,11.22,-0.82,0.0,0.03,-0.85,10.0,0.4,LONG,,Y,,Y,Y,10,-0.6154,-0.608,0.2051,11.22,,,,,,,,,,,,,,,,,,
GVT&D,,4368.2,13.0,3.52,0.51,17.02,17.02,0.0,0.0,0.01,0.0,14.0,3.02,LONG,,,Y,N,,,0.0769,-0.834,0.0256,17.02,,,,,,,,,,,,,,,,,,
HAL,Defence,4890.2,43.0,4.71,3.63,51.34,52.19,-0.85,0.0,-0.89,0.04,54.0,-2.66,LONG,,,,Y,,,0.0588,-0.882,0.0196,52.19,,,,,,,,,,,,,,,,,,
HAVELLS,Electronics,1130.6,24.0,0.92,3.73,28.65,26.54,2.11,1.0,0.17,0.94,25.0,3.65,LONG,,,Y,N,,,0.1364,-0.847,0.0455,26.54,,,,,,,,,,,,,,,,,,
HCLTECH,IT,1263.8,35.0,-0.83,1.54,35.71,33.63,2.08,1.0,1.12,-0.04,38.0,-2.29,LONG,,,Y,N,,,0.4615,-0.774,0.1538,33.63,,,,,,,,,,,,,,,,,,
HDFCAMC,Financials,2458.7,23.0,1.36,6.08,30.44,29.04,1.4,0.0,0.42,0.98,32.0,-1.56,LONG,,,Y,N,,,1.2857,-0.611,0.3333,29.04,,,,,,,,,,,,,,,,,,
HDFCBANK,Pvt Bank,714.0,311.0,76.06,76.86,463.92,462.39,1.53,-1.0,4.63,-2.1,475.0,-11.08,LONG,,,Y,N,,,-0.0021,-0.993,0.0007,462.39,,,,,,,,,,,,,,,,,,
HDFCLIFE,Financials,541.05,39.0,3.48,13.69,56.17,56.17,0.0,0.0,-0.02,0.03,57.0,-0.83,LONG,,Y,Y,N,,,-0.2083,-0.947,0.0694,56.17,,,,,,,,,,,,,,,,,,
HEROMOTOCO,Auto,5330.5,16.0,6.74,3.95,26.69,25.29,1.4,0.0,1.39,0.01,31.0,-4.31,LONG,,,Y,N,,,2.875,-0.897,0.3333,25.29,,,,,,,,,,,,,,,,,,
HINDALCO,Metals,1008.5,47.0,2.71,6.41,56.11,59.52,-3.41,-4.0,-0.16,0.76,57.0,-0.89,LONG,,,,Y,,,0.5833,-0.906,0.1944,59.52,,,,,,,,,,,,,,,,,,
HINDPETRO,Oil&Gas,353.75,14.0,0.07,10.08,24.15,23.77,0.38,0.0,0.38,0.0,22.0,2.15,LONG,,,Y,N,,,0.0,-0.924,0.0,23.77,,,,,,,,,,,,,,,,,,
HINDUNILVR,CD/FMCG,1974.4,56.0,17.85,6.27,80.12,76.68,3.44,0.0,3.41,0.03,87.0,-6.88,LONG,,,Y,N,,,-0.0114,-0.955,0.0038,76.68,,,,,,,,,,,,,,,,,,
HINDZINC,Metals,593.85,35.0,5.42,6.08,46.5,44.48,2.02,3.0,-0.02,-0.97,49.0,-2.5,LONG,,,Y,N,,,0.0889,-0.909,0.0296,44.48,,,,,,,,,,,,,,,,,,
HYUNDAI,,2193.1,2.0,2.05,1.0,5.05,5.63,-0.58,0.0,-0.59,0.01,6.0,-0.95,LONG,,,,Y,,,-0.3333,-0.659,0.1111,5.63,,,,,,,,,,,,,,,,,,
ICICIBANK,Pvt Bank,1434.6,19.0,-25.13,14.72,8.59,6.18,2.41,0.0,1.69,0.72,9.0,-0.41,LONG,,,,N,,,2.0,0.317,0.439,6.18,,,,,,,,,,,,,,,,,,
ICICIGI,Financials,1507.6,14.0,-0.71,3.0,16.29,16.27,0.02,0.0,0.02,0.0,16.0,0.29,LONG,,,Y,N,,,0.4545,-0.607,0.1515,16.27,,,,,,,,,,,,,,,,,,
ICICIPRULI,Financials,476.25,25.0,0.72,4.67,30.39,27.39,3.0,3.0,-0.18,0.17,33.0,-2.61,LONG,,,Y,N,,,0.2692,-0.821,0.0897,27.39,,,,,,,,,,,,,,,,,,
IDEA,Telecom,15.64,51.0,-5.72,5.96,51.25,52.66,-1.41,-2.0,-0.4,0.97,49.0,2.25,LONG,,Y,,N,Y,10,-0.3099,0.068,0.1261,52.66,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,Pvt Bank,86.58,8.0,-5.86,5.1,7.24,5.14,2.1,0.0,2.16,-0.06,7.0,0.24,LONG,,Y,,N,Y,10,-0.5625,0.103,0.2219,5.14,,,,,,,,,,,,,,,,,,
IEX,Financials,118.26,22.0,4.54,2.09,28.63,25.65,2.98,0.0,2.99,-0.01,29.0,-0.37,LONG,,,Y,N,,,0.6111,-0.865,0.2037,25.65,,,,,,,,,,,,,,,,,,
INDHOTEL,Real Estate,718.5,8.0,-0.61,2.59,9.98,10.98,-1.0,-1.0,0.01,-0.01,12.0,-2.02,LONG,,Y,,N,,,-0.2941,-0.192,0.098,10.98,,,,,,,,,,,,,,,,,,
INDIANB,PSU BANK,875.85,8.0,5.48,3.0,16.48,16.35,0.13,0.0,0.13,0.0,19.0,-2.52,LONG,,,Y,N,,,0.4615,-0.873,0.1538,16.35,,,,,,,,,,,,,,,,,,
INDIGO,Logistics,5018.0,22.0,-0.55,7.58,29.02,30.39,-1.37,0.0,-2.17,0.81,30.0,-0.98,LONG,,,,Y,,,-0.1176,-0.645,0.0392,30.39,,,,,,,,,,,,,,,,,,
INDUSINDBK,Pvt Bank,1007.1,24.0,-1.46,-3.18,19.36,18.16,1.2,0.0,0.85,0.35,16.0,3.36,LONG,,Y,,N,Y,42,-0.6667,0.752,0.473,18.16,,,,,,,,,,,,,,,,,,
INDUSTOWER,Telecom,379.5,24.0,7.66,5.3,36.96,35.12,1.84,1.0,0.67,0.17,38.0,-1.04,LONG,,,Y,N,,,0.4074,-0.922,0.1358,35.12,,,,,,,,,,,,,,,,,,
INFY,IT,1094.1,96.0,3.84,27.46,127.31,114.07,13.24,2.0,4.22,7.01,125.0,2.31,LONG,,,Y,N,,,0.2019,-0.97,0.0673,114.07,,,,,,,,,,,,,,,,,,
INOXWIND,Power,75.35,40.0,6.59,-0.4,46.19,48.18,-1.99,-1.0,-0.98,0.0,51.0,-4.81,LONG,,Y,,Y,Y,10,-0.4,-0.818,0.1333,48.18,,,,,,,,,,,,,,,,,,
IOC,Oil&Gas,136.4,22.0,0.99,8.6,31.59,29.05,2.54,1.0,0.54,1.0,30.0,1.59,LONG,,,Y,N,,,-0.0909,-0.436,0.0303,29.05,,,,,,,,,,,,,,,,,,
IREDA,PSU,108.65,66.0,1.98,14.49,82.47,82.51,-0.04,0.0,-0.03,-0.01,91.0,-8.53,LONG,,,,Y,,,0.0706,-0.949,0.0235,82.51,,,,,,,,,,,,,,,,,,
IRFC,PSU,83.0,52.0,0.73,3.78,56.52,55.97,0.55,0.0,0.54,0.0,55.0,1.52,LONG,,,Y,N,,,-0.0984,-0.865,0.0328,55.97,,,,,,,,,,,,,,,,,,
ITC,CD/FMCG,264.35,103.0,44.71,14.86,162.58,163.23,-0.65,0.0,0.4,-1.07,176.0,-13.42,LONG,,Y,,Y,,,-0.1698,-0.983,0.0566,163.23,,,,,,,,,,,,,,,,,,
JINDALSTEL,Metals,1150.0,14.0,0.31,2.74,17.05,17.1,-0.05,0.0,0.0,-0.05,17.0,0.05,LONG,,Y,,N,,,-0.2609,-0.742,0.087,17.1,,,,,,,,,,,,,,,,,,
JIOFIN,Financials,235.99,154.0,27.26,43.39,224.64,226.07,-1.43,-3.0,0.78,0.8,236.0,-11.36,LONG,,,Y,N,,,-0.0328,-0.986,0.0109,226.07,,,,,,,,,,,,,,,,,,
JSWENERGY,Power,536.55,21.0,0.54,0.07,21.62,21.87,-0.25,0.0,-0.2,-0.06,23.0,-1.38,LONG,,Y,,N,Y,10,-0.3784,-0.091,0.1261,21.87,,,,,,,,,,,,,,,,,,
JSWSTEEL,Metals,1315.2,8.0,-5.54,3.18,5.63,3.55,2.08,-1.0,2.37,0.73,6.0,-0.37,LONG,,,,Y,,,-0.1429,0.365,0.1692,3.55,,,,,,,,,,,,,,,,,,
JUBLFOOD,CD/FMCG,473.7,20.0,-6.34,8.0,21.66,21.65,0.01,0.0,0.01,0.0,17.0,4.66,LONG,,,,Y,,,2.4167,0.708,0.3333,21.65,,,,,,,,,,,,,,,,,,
KALYANKJIL,CD/FMCG,590.6,12.0,2.89,-10.61,4.28,2.5,1.78,0.0,1.83,-0.05,5.0,-0.72,LONG,,,,N,,,1.625,0.555,0.5184,2.5,,,,,,,,,,,,,,,,,,
KAYNES,Electronics,3455.0,14.0,3.27,25.21,42.48,42.71,-0.23,0.0,-0.27,0.04,48.0,-5.52,LONG,,,Y,N,,,7.0,-0.89,0.3333,42.71,,,,,,,,,,,,,,,,,,
KEI,Electronics,4681.0,10.0,6.9,2.56,19.45,21.31,-1.86,0.0,-2.08,0.23,30.0,-10.55,LONG,,,,Y,,,2.75,-0.863,0.3333,21.31,,,,,,,,,,,,,,,,,,
KFINTECH,Financials,928.15,14.0,2.05,0.12,16.17,16.84,-0.67,0.0,-0.68,0.01,19.0,-2.83,LONG,,,,Y,,,0.7273,-0.411,0.2424,16.84,,,,,,,,,,,,,,,,,,
KOTAKBANK,Pvt Bank,426.25,13.0,-7.65,0.7,6.05,4.9,1.15,0.0,1.15,0.0,7.0,-0.95,LONG,,,,N,,,-0.7879,0.726,0.5046,4.9,,,,,,,,,,,,,,,,,,
KPITTECH,IT,564.45,25.0,16.54,0.85,42.39,41.41,0.98,1.0,-0.08,0.05,55.0,-12.61,LONG,,,Y,N,,,-0.0984,-0.918,0.0328,41.41,,,,,,,,,,,,,,,,,,
LAURUSLABS,Pharma,1867.1,6.0,-2.48,3.96,7.47,8.03,-0.56,-1.0,0.51,-0.06,8.0,-0.53,LONG,,,Y,N,,,7.0,-0.259,0.3333,8.03,,,,,,,,,,,,,,,,,,
LICHSGFIN,Financials,559.5,17.0,-5.13,3.79,15.66,15.46,0.2,0.0,0.11,0.09,15.0,0.66,LONG,,Y,,N,Y,22,-0.6667,0.137,0.2679,15.46,,,,,,,,,,,,,,,,,,
LICI,Financials,412.55,41.0,1.38,7.9,50.29,49.16,1.13,1.0,-0.17,0.3,51.0,-0.71,LONG,,,Y,N,,,0.186,-0.882,0.062,49.16,,,,,,,,,,,,,,,,,,
LODHA,Real Estate,1196.5,8.0,4.11,-4.22,7.9,7.24,0.66,0.0,0.69,-0.03,11.0,-3.1,LONG,,,,N,,,12.0,0.365,0.455,7.24,,,,,,,,,,,,,,,,,,
LT,E&C,4015.4,65.0,10.43,13.64,89.07,89.51,-0.44,2.0,-1.68,-0.77,83.0,6.07,LONG,,,,Y,,,0.169,-0.963,0.0563,89.51,,,,,,,,,,,,,,,,,,
