symbol,sector,LTP,fut_net(w1),call_net(wtd),put_net(wtd),NEW_NET,NEW_NET_prev,DIFF,fut_d,callW_d,putW_d,pos_col15,reconcile(NEW-col15),net_side,ban,fut_eligible,opt_veto,opt_reducing,in_book,book_lots,fut_score,opt_score,conviction,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
BANKBARODA,PSU BANK,238.21,57.0,-5.74,23.95,75.21,81.08,-5.87,-2.0,-3.87,0.01,72.0,3.21,LONG,,Y,Y,,,,-0.3077,-0.759,0.1026,81.08,,,,,,,,,,,,,,,,,,
BANKINDIA,PSU BANK,142.48,14.0,-1.73,5.32,17.58,18.56,-0.98,-1.0,0.02,0.01,14.0,3.58,LONG,,Y,Y,,,,-0.44,-0.645,0.1467,18.56,,,,,,,,,,,,,,,,,,
BANKNIFTY,INDEX,57378.0,91.0,39.0,23.27,153.26,185.03,-31.77,-2.0,-24.76,-5.0,150.0,3.26,LONG,,,,,,,,,,185.03,,,,,,,,,,,,,,,,,,
BDL,Defence,1257.7,32.0,6.11,2.38,40.49,39.97,0.52,0.0,0.53,-0.01,43.0,-2.51,LONG,,,Y,,,,0.7917,-0.873,0.2639,39.97,,,,,,,,,,,,,,,,,,
BEL,Defence,410.0,87.0,3.83,18.24,109.07,107.81,1.26,-1.0,2.56,-0.3,104.0,5.07,LONG,,,Y,,,,-0.028,-0.96,0.0093,107.81,,,,,,,,,,,,,,,,,,
BHARATFORG,Defence,1962.6,12.0,6.25,11.0,29.25,29.03,0.22,0.0,0.22,0.0,33.0,-3.75,LONG,,,Y,,,,-0.1316,-0.944,0.0439,29.03,,,,,,,,,,,,,,,,,,
BHARTIARTL,Telecom,1853.0,31.0,10.99,9.43,51.42,51.41,0.01,0.0,0.01,0.0,51.0,0.42,LONG,,,Y,,,,0.3077,-0.952,0.1026,51.41,,,,,,,,,,,,,,,,,,
BHEL,E&C,431.75,12.0,13.06,3.44,28.49,31.76,-3.27,-4.0,0.86,-0.12,32.0,-3.51,LONG,,,Y,,,,-0.2195,-0.933,0.0732,31.76,,,,,,,,,,,,,,,,,,
BIOCON,Pharma,397.35,39.0,0.07,4.96,44.04,43.6,0.44,1.0,0.2,-0.77,46.0,-1.96,LONG,,,Y,,,,-0.0213,-0.763,0.0071,43.6,,,,,,,,,,,,,,,,,,
BLUESTARCO,CD/FMCG,1480.0,13.0,-1.68,2.35,13.68,13.24,0.44,0.0,0.43,0.0,14.0,-0.32,LONG,,,Y,,,,-0.0667,-0.285,0.0222,13.24,,,,,,,,,,,,,,,,,,
BOSCHLTD,Auto Anc.,47185.0,-4.0,-0.05,-1.51,-5.56,-4.33,-1.23,1.0,-1.74,-0.49,-5.0,-0.56,SHORT,,,,,,,-2.6667,0.769,0.5896,-4.33,,,,,,,,,,,,,,,,,,
BPCL,Oil&Gas,314.65,15.0,-0.28,1.32,16.04,15.03,1.01,0.0,-0.04,1.04,13.0,3.04,LONG,,Y,,,,,-0.2353,-0.707,0.0784,15.03,,,,,,,,,,,,,,,,,,
BRITANNIA,CD/FMCG,5079.0,8.0,4.05,1.09,13.14,13.05,0.09,0.0,0.08,0.01,14.0,-0.86,LONG,,,Y,,,,0.1667,-0.83,0.0556,13.05,,,,,,,,,,,,,,,,,,
BSE,Financials,3458.5,64.0,13.22,2.42,79.64,84.71,-5.07,2.0,-4.79,-2.28,98.0,-18.36,LONG,,Y,Y,,,,-0.4974,-0.932,0.1658,84.71,,,,,,,,,,,,,,,,,,
CAMS,Financials,747.6,24.0,-1.3,2.92,25.62,24.97,0.65,0.0,0.61,0.04,25.0,0.62,LONG,,,Y,,,,-0.3421,-0.476,0.114,24.97,,,,,,,,,,,,,,,,,,
CANBK,PSU BANK,125.0,43.0,7.3,14.2,64.5,64.46,0.04,-1.0,1.03,0.01,63.0,1.5,LONG,,Y,Y,,,,-0.25,-0.955,0.0833,64.46,,,,,,,,,,,,,,,,,,
CDSL,Financials,1437.9,39.0,5.26,6.42,50.69,45.17,5.52,1.0,3.17,1.35,49.0,1.69,LONG,,,Y,,,,-0.0392,-0.918,0.0131,45.17,,,,,,,,,,,,,,,,,,
CGPOWER,E&C,902.9,7.0,3.64,0.34,10.98,14.79,-3.81,-1.0,-1.8,-1.01,9.0,1.98,LONG,,Y,Y,,,,-0.7188,-0.811,0.2396,14.79,,,,,,,,,,,,,,,,,,
CHOLAFIN,Financials,1815.1,0.0,-4.55,3.9,-0.65,-2.05,1.4,0.0,0.28,1.12,-1.0,0.35,SHORT,,,,,,,0.8333,0.021,0.2848,-2.05,,,,,,,,,,,,,,,,,,
CIPLA,Pharma,1390.9,8.0,6.08,1.35,15.42,16.32,-0.9,-1.0,0.11,0.0,16.0,-0.58,LONG,,,Y,,,,1.2857,-0.871,0.3333,16.32,,,,,,,,,,,,,,,,,,
COALINDIA,Power,419.0,28.0,5.04,2.96,36.0,30.47,5.53,0.0,1.82,3.71,37.0,-1.0,LONG,,Y,Y,,,,-0.4714,-0.876,0.1571,30.47,,,,,,,,,,,,,,,,,,
COCHINSHIP,,1523.1,4.0,8.35,2.0,14.35,13.09,1.26,0.0,1.26,0.0,19.0,-4.65,LONG,,,Y,,,,2.8,-0.883,0.3333,13.09,,,,,,,,,,,,,,,,,,
COFORGE,IT,1946.3,21.0,-5.74,1.97,17.24,17.29,-0.05,0.0,0.96,-1.02,19.0,-1.76,LONG,,,,,,,1.7143,0.583,0.5277,17.29,,,,,,,,,,,,,,,,,,
COLPAL,CD/FMCG,1825.0,42.0,0.34,1.08,43.42,44.4,-0.98,-1.0,0.0,0.02,44.0,-0.58,LONG,,Y,,,,,-0.2281,-0.739,0.076,44.4,,,,,,,,,,,,,,,,,,
CONCOR,Logistics,509.85,48.0,6.18,4.12,58.3,58.85,-0.55,0.0,-0.5,-0.05,60.0,-1.7,LONG,,,Y,,,,0.1321,-0.901,0.044,58.85,,,,,,,,,,,,,,,,,,
CROMPTON,CD/FMCG,232.97,30.0,1.29,10.41,41.7,41.65,0.05,0.0,0.09,-0.03,46.0,-4.3,LONG,,,Y,,,,0.122,-0.795,0.0407,41.65,,,,,,,,,,,,,,,,,,
CUMMINSIND,E&C,5077.0,10.0,-2.99,4.0,11.01,11.21,-0.2,-1.0,0.8,0.0,10.0,1.01,LONG,,,Y,,,,-0.0909,-0.358,0.0303,11.21,,,,,,,,,,,,,,,,,,
DABUR,CD/FMCG,379.75,45.0,6.25,8.77,60.02,58.48,1.54,0.0,1.61,-0.08,64.0,-3.98,LONG,,,Y,,,,0.2308,-0.939,0.0769,58.48,,,,,,,,,,,,,,,,,,
DELHIVERY,Logistics,459.2,15.0,7.1,0.88,22.98,24.14,-1.16,-1.0,-0.09,-0.08,27.0,-4.02,LONG,,,Y,,,,-0.5179,-0.847,0.1726,24.14,,,,,,,,,,,,,,,,,,
DIVISLAB,Pharma,9273.5,-6.0,3.16,-5.26,-8.1,-8.18,0.08,0.0,0.02,0.06,-11.0,2.9,SHORT,,,,,,,-4.6667,0.133,0.3778,-8.18,,,,,,,,,,,,,,,,,,
DIXON,Mfg. CD,14115.0,29.0,14.82,12.28,56.1,55.78,0.32,-1.0,3.24,-1.92,73.0,-16.9,LONG,,,Y,,,,0.1061,-0.942,0.0354,55.78,,,,,,,,,,,,,,,,,,
DLF,Real Estate,679.15,39.0,-0.25,1.49,40.24,38.67,1.57,1.0,0.0,0.57,34.0,6.24,LONG,,,,,,,0.0625,-0.634,0.0208,38.67,,,,,,,,,,,,,,,,,,
DMART,CD/FMCG,3738.2,19.0,6.54,8.91,34.45,34.29,0.16,0.0,0.32,-0.16,40.0,-5.55,LONG,,,Y,,,,0.4815,-0.924,0.1605,34.29,,,,,,,,,,,,,,,,,,
DRREDDY,Pharma,1153.0,24.0,4.17,2.36,30.53,31.07,-0.54,1.0,-2.11,0.57,32.0,-1.47,LONG,,,Y,,,,0.28,-0.858,0.0933,31.07,,,,,,,,,,,,,,,,,,
EICHERMOT,Auto,7709.5,8.0,0.96,8.11,17.07,14.83,2.24,0.0,2.09,0.15,19.0,-1.93,LONG,,,Y,,,,7.3333,-0.689,0.3333,14.83,,,,,,,,,,,,,,,,,,
ETERNAL,CD/FMCG,322.75,13.0,-1.64,6.53,17.88,24.26,-6.38,-3.0,-4.27,0.9,19.0,-1.12,LONG,,,Y,,,,0.2667,-0.412,0.0889,24.26,,,,,,,,,,,,,,,,,,
